Ticker,Price,Probability,Predicted_Return,Signal,Signal_Type,Paper_Status,Real_Order,Quantity,Position_Value
RYSAS.IS,28.299999237060547,0.487616195771159,0.005226823077770431,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,28.299999237060547
KUVVA.IS,190.5,0.4826025456319619,0.006390423840788861,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,190.5
ARTMS.IS,43.900001525878906,0.49274615186130377,0.006887379345319673,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,43.900001525878906
ALKLC.IS,460.0,0.5584899302707166,0.0069400806791100455,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,460.0
DIRIT.IS,28.0,0.45990117486948023,0.0035671576871294025,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,28.0
ETYAT.IS,16.1299991607666,0.5023326545331919,0.007670943008108256,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,16.1299991607666
BIGEN.IS,168.3000030517578,0.4633756374274832,0.006792868720150028,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,168.3000030517578
BRSAN.IS,715.5,0.4947317031147239,0.007460835936141932,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,715.5
AYGAZ.IS,325.75,0.48213205247125823,0.005389282430088341,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,325.75
TEHOL.IS,45.0,0.47268122111450217,0.005918328780943349,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,45.0
BRKVY.IS,90.69999694824219,0.48404379727897356,0.0052387999774919924,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,90.69999694824219
ATSYH.IS,123.0,0.45939812120987467,0.0023178420287200876,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,123.0
SNPAM.IS,21.280000686645508,0.4431541951398451,0.0028761469901449383,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,21.280000686645508
VESBE.IS,5.989999771118164,0.4365170953589911,0.0037704659678150045,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,5.989999771118164
MRGYO.IS,1.5700000524520874,0.4610760747580841,0.004194243609733661,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,1.5700000524520874
RALYH.IS,271.25,0.46449356170365874,0.0025621699197269456,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,271.25
TRCAS.IS,49.20000076293945,0.4967783189926511,0.0063668968323953735,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,49.20000076293945
BLCYT.IS,2.25,0.4417175236490013,0.0030765345109548606,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,2.25
ARDYZ.IS,85.75,0.45747345941194895,0.0027161939698151115,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,85.75
EUKYO.IS,13.800000190734863,0.5115252389680585,0.007104235897036811,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,13.800000190734863
SOKM.IS,58.0,0.5107421853480333,0.006580975070063508,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,58.0
TKFEN.IS,210.8000030517578,0.4664767553034986,0.005093126824149341,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,210.8000030517578
NIBAS.IS,4.320000171661377,0.4577031981605489,0.004133018621387144,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4.320000171661377
BLUME.IS,40.70000076293945,0.46719355697445963,0.006542888634741876,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,40.70000076293945
TURGG.IS,28.920000076293945,0.47200408763655766,0.005011101143066153,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,28.920000076293945
KGYO.IS,12.180000305175781,0.4500930045571976,0.0027110603594119828,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,12.180000305175781
AVGYO.IS,16.0,0.437586025100563,-0.0008498815731133335,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,16.0
